question_id,Topic,Difficulty (Easy/Medium/Hard),question_type (fib/mcq/mcq_image),question,Question Image URL (for mcq_image),answer,option 1,option 2,option 3,option 4,multiplier,Comments
38,Logic/Puzzles,Easy,mcq,"A professor writes two messages: 1) “The other message is true.” 2) “The first message is false.” Are they both true, both false, or one true and one false?",,4,Both true,Both False,One true and one false ,Undefined,1.3,
39,Physics/Math,Easy,mcq,A log is floating down an infinitely long river at 2 m/s. You are running at 4 m/s on land. The river is 10m wide. What’s the fastest way to cross?,,2,Swim straight across,Swim diagonally upstream,"Swim downstream, then cross",Run along the bank and jump,1.3,
40,Cybersecurity,Medium,mcq,What is a common technique used in spear-phishing attacks?,,2,Sending mass emails with generic messages,Using personalized information gathered from OSINT,Exploiting software vulnerabilities to gain remote access,Encrypting files and demanding a ransom,1.5,
41,Cybersecurity,Medium,mcq,Which of the following is the most effective way to prevent Business Email Compromise (BEC)?,,3,Relying on spam filters to detect fraudulent emails,Using only antivirus software on corporate devices,"Implementing email verification measures such as DMARC, SPF, and DKIM",Changing employee passwords every 6 months,1.5,
42,Cybersecurity,Medium,mcq,What is a potential risk of paying a ransomware attacker?,,4,The attacker may increase the ransom demand after payment,The company may face legal consequences for funding cybercrime,The decrypted files may still be damaged or incomplete,All of the above,1.5,
43,Cybersecurity,Medium,mcq,Which of the following is commonly sold on dark web marketplaces?,,4,Stolen credit card data,Malware-as-a-Service (MaaS) tools,Exploits and zero-day vulnerabilities,All of the above,1.5,
44,Cybersecurity,Medium,mcq,What is a key indicator of a potential insider threat?,,1,An employee frequently requests access to sensitive files unrelated to their job,An employee forgets their login credentials multiple times,An employee installs an additional antivirus program on their work device,An employee frequently works late hours at the office,1.5,
45,Cybersecurity,Medium,mcq,Which method is commonly used by cybercriminals to bypass Multi-Factor Authentication (MFA)?,,2,Brute-force password guessing,SIM swapping to hijack OTP messages,Using keyloggers to steal credentials,Sending phishing emails with fake login pages,1.6,
46,Cybersecurity,easy,mcq,What is the main goal of a SIM swapping attack?,,3,To gain access to a victim’s phone call history,To steal personal photos from a victim’s phone,To intercept SMS-based authentication codes for account takeover,To disable a victim’s internet connection,1.2,
47,Cybersecurity,easy,mcq,Which cybercrime technique involves the use of AI-generated deepfake videos or audio?,,2,Credential stuffing,Voice phishing (vishing) and CEO fraud,SQL injection attacks,Ransomware encryption,1.2,
48,Cybersecurity,easy,mcq,Which law in the United States is primarily used to prosecute hackers and cybercriminals?,,2,GDPR (General Data Protection Regulation),CFAA (Computer Fraud and Abuse Act),DMCA (Digital Millennium Copyright Act),CCPA (California Consumer Privacy Act),1.3,
49,Cybersecurity,easy,mcq,Why do cybercriminals prefer cryptocurrency for illicit transactions?,,3,Transactions are completely anonymous and untraceable,Cryptocurrencies can be easily converted into physical cash,"Blockchain transactions are irreversible, making it difficult for victims to recover funds",Authorities cannot monitor any cryptocurrency transactions,1.3,
50,Cybersecurity,easy,mcq,"You receive an email claiming to be from your bank, asking you to click a link and enter your login details. What should you do?",,3,Click the link and enter your information quickly to secure your account,Ignore the email since banks never send emails,Verify the sender’s email address and contact your bank directly to confirm,Reply to the email asking for proof that they are legitimate,1.2,
51,Cybersecurity,easy,mcq,Which of the following is the safest way to create a strong password?,,2,Use your birthday or pet’s name so you can remember it easily,"Use a mix of uppercase, lowercase, numbers, and symbols (e.g., P@ssw0rd!3x)",Use the same password for all your accounts so it’s easy to remember,Write your password down on paper and keep it near your computer,1.2,
52,Cybersecurity,easy,mcq,What is the best way to protect yourself when using public Wi-Fi at a café or airport?,,1,Use a VPN (Virtual Private Network) to encrypt your internet connection,Always connect to the Wi-Fi with the strongest signal,Enter your credit card details only on secure websites,Ask an employee for the official Wi-Fi and use it without worry,1.2,
53,Cybersecurity,easy,mcq,What should you do if your computer is locked by ransomware demanding payment?,,3,Pay the ransom immediately to recover your files,Restart your computer and hope the problem goes away,Contact a cybersecurity professional and report the attack,Delete all your files and reinstall the operating system,1.4,
54,Cybersecurity,easy,mcq,Why is enabling Two-Factor Authentication (2FA) important for online accounts?,,2,It helps recover your account if you forget your password,It adds an extra layer of security by requiring a second verification step,It makes logging in faster and easier,It prevents your device from getting viruses,1.4,
55,Cybersecurity,easy,mcq,"If someone calls you pretending to be from a government agency and demands immediate payment or personal information, what should you do?",,2,Provide the requested details to avoid legal trouble,Hang up and verify their identity by contacting the agency directly,Argue with the caller and demand proof of their identity,Call them back using the number they provided,1.2,
56,Cybersecurity,easy,mcq,Which of the following is a warning sign that an online shopping website might be a scam?,,4,Prices are significantly lower than other websites,"The website does not have an ""HTTPS"" padlock in the address bar",There are no customer reviews or contact details available,All of the above,1.3,
57,Cybersecurity,easy,mcq,Which personal information should you never share publicly on social media?,,2,Your favorite movie,Your full name and date of birth,A picture of your pet,Your opinion on the latest TV show,1.2,
58,Cybersecurity,easy,mcq,"A pop-up appears on your screen saying, ""Your computer is infected! Click here to fix it!"" What should you do?",,2,Click the link and follow the instructions to remove the virus,Close the pop-up and run a security scan using legitimate antivirus software,Restart your computer and ignore the warning,Call the phone number in the pop-up for technical support,1.4,
59,Cybersecurity,easy,mcq,Which of the following actions is illegal and considered a cybercrime?,,2,Using a friend’s Netflix password with their permission,Hacking into someone’s social media account without their consent,Taking a screenshot of a public website,Posting a negative review about a product online,1.2,
60,Cybersecurity,hard,mcq,You are a network administrator and need to subnet the IP range 192.168.50.0/24 into at least 6 subnets while maximizing the number of usable host addresses per subnet. Which of the following subnet masks should you use?,,1,255.255.255.224,255.255.255.192,255.255.255.240,255.255.255.248,1.8,
61,Cybersecurity,hard,mcq,Which of the following hashing algorithms is the most vulnerable to a collision attack?,,2,SHA-256,SHA-1,Bcrypt,Argon2,1.9,
62,Cybersecurity,hard,mcq,"A forensic investigator wants to identify a suspicious process running as root.

Which command provides detailed information about the process?",,1,ps aux | grep root,kill -9 1,ls -l /root,chmod 777 /etc/passwd,1.9,
63,Cybersecurity,hard,mcq,"You suspect that a hacker accessed the machine.

Which command shows the last logins?",,1,last,history,netstat -an,chmod -R 777 /var/log,1.9,
64,Cybersecurity,hard,mcq,Which of the following is the best way to verify that a downloaded file has not been tampered with?,,3,Checking the file name,Running the file in a sandbox environment,"Verifying the cryptographic hash (e.g., SHA-256)",Scanning the file with an antivirus,1.9,
65,Cybersecurity,medium,mcq,An attacker successfully gains access to a company's network by sending a phishing email to an employee. What type of vulnerability is primarily exploited in this case?,,2,Software vulnerability,Human vulnerability,Network misconfiguration,Brute-force attack,1.5,
66,Cybersecurity,hard,mcq,"A cybersecurity analyst notices that users are being redirected to a fake banking website despite entering the correct URL. However, the bank’s real website is secure with HTTPS. What is the most likely cause?",,2,The attacker exploited a vulnerability in the bank’s website,A Man-in-the-Middle (MITM) attack modified DNS responses,Users accidentally mistyped the website address,The attacker used SQL injection to change the database,1.8,
67,Cybersecurity,hard,mcq,"A developer is testing a web application on their local machine. However, they can access it using localhost, but not with 127.0.0.1. What could be the problem?",,2,The firewall is blocking external connections,The application is listening on [::1],The network adapter is disconnected,The application is not running,1.9,
68,Data Structures,medium,mcq,"Given an array A[n] such that:                   Find the time complexity to find A[i].
",https://ibb.co/xqy1q98S,3,O(N),O(log₂ N),O(log n × log n),O(1),1.6,
